#Species/genus	Genomes	Organism name	Chromosome RefSeq	Chromosome GenBank	Plasmid RefSeq	Plasmid GenBank	CODE	Comment	PubmedIDs	External link
Prevotella nigrescens	3	Prevotella nigrescens ATCC 33563	NZ_AFPX00000000	AFPX00000000			Default			
Prevotella oralis	3	Prevotella oralis ATCC 33269	NZ_AEPE00000000	AEPE00000000			Default			
Prevotella oris	3	Prevotella oris C735	NZ_ADDV00000000	ADDV00000000			Default			
Prevotella oulorum	1	Prevotella oulorum F0390	NZ_ADGI00000000	ADGI00000000			Default			
Prevotella pallens	1	Prevotella pallens ATCC 700821	NZ_AFPY00000000	AFPY00000000			Default			
Prevotella paludivivens	1	Prevotella paludivivens DSM 17968	NZ_ARDK00000000	ARDK00000000			Default			
Prevotella pleuritidis	1	Prevotella pleuritidis F0068	NZ_AWET00000000	AWET00000000			Default			
Prevotella ruminicola	1	Prevotella ruminicola 23	NC_014033	CP002006			COM		20585943	
Prevotella saccharolytica	1	Prevotella saccharolytica F0055	NZ_AMEP00000000	AMEP00000000			Default			
Prevotella salivae	2	Prevotella salivae DSM 15606	NZ_AEQO00000000	AEQO00000000			Default			
Prevotella	14	Prevotella sp. oral taxon 299 str. F0039	NC_022124	CP003666	NC_022111	CP003667	Default			
Prevotella sp. oral taxon 473	1	Prevotella sp. oral taxon 473 str. F0040	NZ_AMEK00000000	AMEK00000000			Default			
Prevotella stercorea	1	Prevotella stercorea DSM 18206	NZ_AFZZ00000000	AFZZ00000000			Default			
Alloprevotella tannerae	1	Prevotella tannerae ATCC 51259	NZ_ACIJ00000000	ACIJ00000000			Default			
Prevotella timonensis	3	Prevotella timonensis CRIS 5C-B1	NZ_ADEF00000000	ADEF00000000			Default			
Prevotella veroralis	2	Prevotella veroralis F0319	NZ_ACVA00000000	ACVA00000000			Default			
Prochlorococcus marinus	15	Prochlorococcus marinus subsp. marinus str. CCMP1375	NC_005042	AE017126			FGS/UPR	This strain has a reference proteome in UniProtKB database.	12917486	http://www.uniprot.org/taxonomy/?query=reference:yes%20ancestor:16
Prochlorococcus marinus	15	Prochlorococcus marinus subsp. pastoris str. CCMP1986	NC_005072	BX548174			PRT		12917642	
Prochlorococcus	12	Prochlorococcus sp. W2	NZ_ALPB00000000	ALPB00000000			Default			
Prochlorothrix hollandica	2	Prochlorothrix hollandica PCC 9006	NZ_ANKN00000000	ANKN00000000			Default			
Promicromonospora sukumoe	1	Promicromonospora sukumoe 327MFSha3.1	NZ_ARQM00000000	ARQM00000000			Default			
Propionibacterium acidifaciens	2	Propionibacterium acidifaciens F0233	NZ_ACVN00000000	ACVN00000000			Default			
	0	Propionibacterium acidipropionici					Default			
Propionibacterium acnes	90	Propionibacterium acnes KPA171202	NC_006085	AE017283			COM		15286373	
Propionibacterium avidum	3	Propionibacterium avidum 44067	NC_021064	CP005287			Default		23792747	
Propionibacterium freudenreichii	1	Propionibacterium freudenreichii subsp. shermanii CIRM-BIA1	NC_014215	FN806773			COM		20668525	
	0	Propionibacterium granulosum					Default			
Propionibacterium humerusii	1	Propionibacterium humerusii P08	NZ_AFAM00000000	AFAM00000000			Default			
	0	Propionibacterium jensenii					Default			
Propionibacterium propionicum	1	Propionibacterium propionicum F0230a	NC_018142	CP002734			Default			
Propionibacterium	19	Propionibacterium sp. 409-HC1	NZ_AFIK00000000	AFIK00000000			Default			
Propionimicrobium lymphophilum	2	Propionimicrobium lymphophilum ACS-093-V-SCH5	NZ_AGZR00000000	AGZR00000000			Default			
Propionimicrobium	1	Propionimicrobium sp. BV2F7					Default			
Prosthecochloris aestuarii	1	Prosthecochloris aestuarii DSM 271	NC_011059	CP001108	NC_011061	CP001109	COM			
Proteiniphilum acetatigenes	1	Proteiniphilum acetatigenes DSM 18083	NZ_ARKZ00000000	ARKZ00000000			Default			
Proteus hauseri	1	Proteus hauseri ZMd44	NZ_AWXP00000000	AWXP00000000			Default			
Proteus mirabilis	7	Proteus mirabilis HI4320	NC_010554	AM942759	NC_010555	AM942760	COM		18375554	
Proteus penneri	1	Proteus penneri ATCC 35198	NZ_ABVP00000000	ABVP00000000			Default			
	0	Proteus sp. 3M			NC_019373 ... (2)	JX514065 ... (2)	Default			
	0	Proteus vulgaris					Default			
Providencia alcalifaciens	9	Providencia alcalifaciens DSM 30120	NZ_ABXW00000000	ABXW00000000			Default			
Providencia burhodogranariea	1	Providencia burhodogranariea DSM 19968	NZ_AKKL00000000	AKKL00000000			Default			
	0	Providencia rettgeri					Default			
Providencia rustigianii	1	Providencia rustigianii DSM 4541	NZ_ABXV00000000	ABXV00000000			Default			
Providencia sneebia	1	Providencia sneebia DSM 19967	NZ_AKKN00000000,NZ_CM001773	AKKN00000000,CM001773	NZ_CM001853 ... (3)	CM001853 ... (3)	Default		23145767	
	0	Providencia stuartii					Default			
Pseudacidovorax intermedius	1	Pseudacidovorax intermedius NH-1		ANOY00000000			Default			
Pseudaminobacter salicylatoxidans	1	Pseudaminobacter salicylatoxidans KCT001	NZ_CAIU00000000	CAIU00000000			Default			
Pseudanabaena biceps	1	Pseudanabaena biceps PCC 7429	NZ_ALWB00000000	ALWB00000000			Default			
Pseudanabaena	2	Pseudanabaena sp. PCC 7367	NC_019701	CP003592	NC_019690	CP003593	Default			
Pseudoalteromonas agarivorans	1	Pseudoalteromonas agarivorans S816	NZ_APME00000000	APME00000000			Default			
Pseudoalteromonas arctica	1	Pseudoalteromonas arctica A 37-1-2	NZ_AHBY00000000	AHBY00000000			Default			
Pseudoalteromonas atlantica	2	Pseudoalteromonas atlantica T6c	NC_008228	CP000388			COM			
Pseudoalteromonas citrea	1	Pseudoalteromonas citrea NCIMB 1889	NZ_AHBZ00000000	AHBZ00000000			Default			
Pseudoalteromonas flavipulchra	1	Pseudoalteromonas flavipulchra JG1	NZ_AJMP00000000	AJMP00000000			Default			
Pseudoalteromonas haloplanktis	11	Pseudoalteromonas haloplanktis TAC125	NC_007481,NC_007482	CR954246,CR954247			COM		16169927	
Pseudoalteromonas luteoviolacea	2	Pseudoalteromonas luteoviolacea B = ATCC 29581	NZ_CAPN00000000	CAPN00000000			Default			
Pseudoalteromonas marina	1	Pseudoalteromonas marina mano4	NZ_AHCB00000000	AHCB00000000			Default			
Pseudoalteromonas piscicida	2	Pseudoalteromonas piscicida JCM 20779	NZ_AHCC00000000	AHCC00000000			Default			
Pseudoalteromonas rubra	1	Pseudoalteromonas rubra ATCC 29570	NZ_AHCD00000000	AHCD00000000			Default			
Pseudoalteromonas ruthenica	1	Pseudoalteromonas ruthenica CP76	NZ_AOPM00000000	AOPM00000000			Default			
Pseudoalteromonas	18	Pseudoalteromonas sp. SM9913	NC_014800,NC_014803	CP001796,CP001797			COM		20703316	
Pseudoalteromonas spongiae	1	Pseudoalteromonas spongiae UST010723-006	NZ_AHCE00000000	AHCE00000000			Default			
Pseudoalteromonas tunicata	1	Pseudoalteromonas tunicata D2	NZ_AAOH00000000	AAOH00000000			Default			
Pseudoalteromonas undina	1	Pseudoalteromonas undina NCIMB 2128	NZ_AHCF00000000	AHCF00000000			Default			
Pseudochrobactrum	1	Pseudochrobactrum sp. AO18b	NZ_ANNO00000000	ANNO00000000			Default			
Pseudoflavonifractor capillosus	2	Pseudoflavonifractor capillosus ATCC 29799	NZ_AAXG00000000	AAXG00000000			Default			
Pseudogulbenkiania ferrooxidans	2	Pseudogulbenkiania ferrooxidans 2002	NZ_ACIS00000000	ACIS00000000			Default			
Pseudogulbenkiania	2	Pseudogulbenkiania sp. NH8B	NC_016002	AP012224			COM		22038961	
Pseudomonas aeruginosa	241	Pseudomonas aeruginosa PAO1	NC_002516	AE004091			FGS/MOD/UPR	This is the first genomic sequence of Pseudomonas aeruginosa. It was included in the Pseudomonas Genome database, and widely used in the studies of comparative genomics of Pseudomonas aeruginosa. It has a reference proteome in UniProtKB database.	10984043,15608211,18978025	http://www.uniprot.org/taxonomy/?query=reference:yes%20ancestor:17
Pseudomonas agarici	1	Pseudomonas agarici NCPPB 2289	NZ_AKBQ00000000	AKBQ00000000			Default			
	0	Pseudomonas alcaligenes					Default			
Pseudomonas alcaliphila	1	Pseudomonas alcaliphila 34	NZ_ANGB00000000	ANGB00000000			Default			
Pseudomonas avellanae	3	Pseudomonas avellanae BPIC 631	NZ_AKBS00000000	AKBS00000000			Default			
Pseudomonas brassicacearum	3	Pseudomonas brassicacearum subsp. brassicacearum NFM421	NC_015379	CP002585			COM		21515771	
Pseudomonas caeni	1	Pseudomonas caeni DSM 24390	NZ_ATXQ00000000	ATXQ00000000			Default			
Pseudomonas chloritidismutans	1	Pseudomonas chloritidismutans AW-1	NZ_AOFQ00000000	AOFQ00000000			Default			
Pseudomonas chlororaphis	5	Pseudomonas chlororaphis O6	NZ_AHOT00000000,NZ_CM001490	AHOT00000000,CM001490			Default		22792073	
Pseudomonas denitrificans	1	Pseudomonas denitrificans ATCC 13867	NC_020829	CP004143			Default		23723394	
Pseudomonas entomophila	1	Pseudomonas entomophila L48	NC_008027	CT573326			COM		16699499	
Pseudomonas extremaustralis	1	Pseudomonas extremaustralis 14-3 substr. 14-3b	NZ_AHIP00000000	AHIP00000000			Default			
Pseudomonas fluorescens	27	Pseudomonas fluorescens Pf0-1	NC_007492	CP000094			Default		19432983	
Pseudomonas fragi	2	Pseudomonas fragi A22	NZ_AHZY00000000	AHZY00000000			Default			
Pseudomonas fulva	1	Pseudomonas fulva 12-X	NC_015556	CP002727			COM			
Pseudomonas fuscovaginae	6	Pseudomonas fuscovaginae UPB0736	NZ_AIEU00000000	AIEU00000000			Default			
Pseudomonas geniculata	1	Pseudomonas geniculata N1	NZ_AJLO00000000	AJLO00000000			Default			
	0	Pseudomonas gingeri NCPPB 3146					Default			
Pseudomonas luteola	1	Pseudomonas luteola XLDN4-9	NZ_ALAT00000000	ALAT00000000			Default			
Pseudomonas mandelii	2	Pseudomonas mandelii JR-1	NZ_AJFM00000000	AJFM00000000			Default			
Pseudomonas mendocina	5	Pseudomonas mendocina ymp	NC_009439	CP000680			COM			
	0	Pseudomonas migulae			NC_021250	JX891462	Default			
Pseudomonas monteilii	3	Pseudomonas monteilii SB3101	NC_023076	CP006979			Default			
	0	Pseudomonas moraviensis R28-S					Default			
Pseudomonas mosselii	1	Pseudomonas mosselii SJ10	NZ_AXUO00000000	AXUO00000000			Default			
Pseudomonas pelagia	1	Pseudomonas pelagia CL-AP6	NZ_AROI00000000	AROI00000000			Default			
Pseudomonas plecoglossicida	1	Pseudomonas plecoglossicida NB2011	NZ_ASJX00000000	ASJX00000000			Default			
Pseudomonas poae	1	Pseudomonas poae RE*1-1-14	NC_020209	CP004045			Default			
Pseudomonas protegens	2	Pseudomonas protegens Pf-5	NC_004129	CP000076			COM		15980861	
Pseudomonas pseudoalcaligenes	2	Pseudomonas pseudoalcaligenes CECT 5344	NZ_CAIG00000000	CAIG00000000			Default			
Pseudomonas psychrophila	1	Pseudomonas psychrophila HA-4	NZ_ALJC00000000	ALJC00000000			Default			
Pseudomonas psychrotolerans	1	Pseudomonas psychrotolerans L19	NZ_AHBD00000000	AHBD00000000			Default			
Pseudomonas putida	28	Pseudomonas putida KT2440	NC_002947	AE015451			COM		12534463	
	0	Pseudomonas resinovorans					Default			
Pseudomonas	81	Pseudomonas sp. UW4	NC_019670	CP003880			Default		23516524	
Pseudomonas stutzeri	15	Pseudomonas stutzeri A1501	NC_009434	CP000304			COM		18495935	
Pseudomonas synxantha	1	Pseudomonas synxantha BG33R	NZ_AHPP00000000,NZ_CM001514	AHPP00000000,CM001514			Default		22792073	
Pseudomonas coronafaciens	1	Pseudomonas syringae pv. oryzae str. 1_6	NZ_ABZR00000000	ABZR00000000			Default			
Pseudomonas savastanoi	6	Pseudomonas syringae pv. phaseolicola 1448A	NC_005773	CP000058	NC_007274 ... (2)	CP000059 ... (2)	Default		16159782	
Pseudomonas syringae	89	Pseudomonas syringae pv. syringae B728a	NC_007005	CP000075			Default		16043691	
Pseudomonas amygdali	11	Pseudomonas syringae pv. tabaci str. ATCC 11528	NZ_ACHU00000000	ACHU00000000			Default			
Pseudomonas syringae group genomosp. 3	6	Pseudomonas syringae pv. tomato str. DC3000	NC_004578	AE016853	NC_004632 ... (2)	AE016854 ... (2)	COM		12928499	
Pseudomonas taiwanensis	2	Pseudomonas taiwanensis SJ9	NZ_AXUP00000000	AXUP00000000			Default			
Pseudomonas thermotolerans	2	Pseudomonas thermotolerans DSM 14292	NZ_AQPA00000000	AQPA00000000			Default			
Pseudomonas tolaasii	3	Pseudomonas tolaasii 6264	NZ_AKYY00000000	AKYY00000000			Default			
Pseudomonas umsongensis	1	Pseudomonas umsongensis 20MFCvi1.1	NZ_ARIW00000000	ARIW00000000			Default			
Pseudomonas veronii	1	Pseudomonas veronii 1YdBTEX2	NZ_AOUH00000000	AOUH00000000			Default			
Pseudomonas viridiflava	3	Pseudomonas viridiflava UASWS0038	NZ_AMQP00000000	AMQP00000000			Default			
	0	Pseudonocardia autotrophica					Default			
Pseudonocardia dioxanivorans	1	Pseudonocardia dioxanivorans CB1190	NC_015312	CP002593	NC_015313 ... (5)	CP002594 ... (5)	COM		21725009	
Pseudonocardia	2	Pseudonocardia sp. P1	NZ_ADUJ00000000	ADUJ00000000			Default			
Pseudoramibacter alactolyticus	1	Pseudoramibacter alactolyticus ATCC 23263	NZ_AEQN00000000	AEQN00000000			Default			
Pseudorhodobacter ferrugineus	1	Pseudorhodobacter ferrugineus DSM 5888	NZ_ATVN00000000	ATVN00000000			Default			
Pseudovibrio	3	Pseudovibrio sp. FO-BEG1	NC_016642	CP003147	NC_016646	CP003148	COM		23601235	
Pseudoxanthomonas	3	Pseudoxanthomonas sp. GW2	NZ_ALIP00000000	ALIP00000000			Default			
Pseudoxanthomonas spadix	1	Pseudoxanthomonas spadix BD-a59	NC_016147	CP003093			COM		22207748	
Pseudoxanthomonas suwonensis	4	Pseudoxanthomonas suwonensis 11-1	NC_014924	CP002446			COM			
Psychrobacter aquaticus	1	Psychrobacter aquaticus CMS 56	NZ_AUSW00000000	AUSW00000000			Default			
Psychrobacter arcticus	1	Psychrobacter arcticus 273-4	NC_007204	CP000082			COM		20154119	
Psychrobacter cryohalolentis	1	Psychrobacter cryohalolentis K5	NC_007969	CP000323	NC_007968	CP000324	COM			
Psychrobacter lutiphocae	1	Psychrobacter lutiphocae DSM 21542	NZ_ARNF00000000	ARNF00000000			Default			
	0	Psychrobacter maritimus			NC_021158	HF953351	Default			
Psychrobacter	13	Psychrobacter sp. PRwf-1	NC_009524	CP000713	NC_009516 ... (2)	CP000714 ... (2)	COM			
Psychroflexus gondwanensis	1	Psychroflexus gondwanensis ACAM 44	NZ_APLF00000000	APLF00000000			Default			
Psychroflexus torquis	1	Psychroflexus torquis ATCC 700755	NC_018721	CP003879			Default			
Psychroflexus tropicus	1	Psychroflexus tropicus DSM 15496	NZ_ARLA00000000	ARLA00000000			Default			
Psychromonas hadalis	1	Psychromonas hadalis ATCC BAA-638	NZ_ATUO00000000	ATUO00000000			Default			
Psychromonas ingrahamii	1	Psychromonas ingrahamii 37	NC_008709	CP000510			COM			
Psychromonas ossibalaenae	1	Psychromonas ossibalaenae ATCC BAA-1528	NZ_ARML00000000	ARML00000000			Default			
Psychromonas	2	Psychromonas sp. CNPT3	NC_020802	CP004404			Default			
Pusillimonas noertemannii	1	Pusillimonas noertemannii BS8	NZ_AMZF00000000	AMZF00000000			Default			
Pusillimonas	1	Pusillimonas sp. T7-7	NC_015458	CP002663	NC_015459	CP002664	COM		21622753	
Pyramidobacter piscolens	1	Pyramidobacter piscolens W5455	NZ_ADFP00000000	ADFP00000000			Default			
Pyrobaculum aerophilum	1	Pyrobaculum aerophilum str. IM2	NC_003364	AE009441			COM		11792869	
Pyrobaculum arsenaticum	1	Pyrobaculum arsenaticum DSM 13514	NC_009376	CP000660			COM			
Pyrobaculum calidifontis	1	Pyrobaculum calidifontis JCM 11548	NC_009073	CP000561			COM			
Pyrobaculum islandicum	1	Pyrobaculum islandicum DSM 4184	NC_008701	CP000504			COM			
Pyrobaculum neutrophilum	1	Pyrobaculum neutrophilum V24Sta	NC_010525	CP001014			COM			
Pyrobaculum oguniense	1	Pyrobaculum oguniense TE7	NC_016885	CP003316	NC_016886	CP003317	Default		23407329	
Pyrobaculum	1	Pyrobaculum sp. 1860	NC_016645	CP003098			COM		22247528	
Pyrococcus abyssi	1	Pyrococcus abyssi GE5	NC_000868	AL096836	NC_001773	U49503	COM		10736225,11381026,12622808	
Pyrococcus furiosus	2	Pyrococcus furiosus DSM 3638	NC_003413	AE009950			COM		10430560,11115105,11210495	
Pyrococcus horikoshii	1	Pyrococcus horikoshii OT3	NC_000961	BA000001			COM		9679194	
Pyrococcus	2	Pyrococcus sp. NA2	NC_015474	CP002670			COM		21602357	
Pyrococcus yayanosii	1	Pyrococcus yayanosii CH1	NC_015680	CP002779			COM		21705594	
Pyrolobus fumarii	1	Pyrolobus fumarii 1A	NC_015931	CP002838			COM		21886865	
Rahnella aquatilis	2	Rahnella aquatilis CIP 78.65 = ATCC 33071	NC_016818	CP003244	NC_016819 ... (3)	CP003245 ... (3)	Default		22582378	
Rahnella aquatilis	2	Rahnella aquatilis HX2	NC_017047	CP003403	NC_017060 ... (3)	CP003404 ... (3)	Default		23144397	
	0	Rahnella genomosp. 3			NC_019295	FN429030	Default			
	0	Rahnella sp. 'WMR15'					Default			
Rahnella	1	Rahnella sp. Y9602	NC_015061	CP002505	NC_015062 ... (2)	CP002506 ... (2)	COM		22461551	
Cupriavidus pinatubonensis	1	Ralstonia eutropha JMP134	NC_007347,NC_007348	CP000090,CP000091	NC_007336 ... (2)	CP000092 ... (2)	COM			
Ralstonia pickettii	4	Ralstonia pickettii 12J	NC_010678,NC_010682	CP001068,CP001069	NC_010683	CP001070	COM			
Ralstonia solanacearum	15	Ralstonia solanacearum GMI1000	NC_003295	AL646052	NC_003296	AL646053	COM		11823852	
Ralstonia	8	Ralstonia sp. 5_7_47FAA	NZ_ACUF00000000	ACUF00000000			Default			
Ramlibacter tataouinensis	1	Ramlibacter tataouinensis TTB310	NC_015677	CP000245			COM		21912644	
Raoultella ornithinolytica	2	Raoultella ornithinolytica B6	NC_021066	CP004142			Default		23814034	
Raphidiopsis brookii	1	Raphidiopsis brookii D9	NZ_ACYB00000000	ACYB00000000			Default			
	0	'Rehmannia glutinosa' phytoplasma					Default			
Reinekea blandensis	1	Reinekea blandensis MED297	NZ_AAOE00000000	AAOE00000000			Default			
Renibacterium salmoninarum	1	Renibacterium salmoninarum ATCC 33209	NC_010168	CP000910			COM			
	0	Reyranella massiliensis 521					Default			
Rheinheimera nanhaiensis	1	Rheinheimera nanhaiensis E407-8	NZ_BAFK00000000	BAFK00000000			Default			
Rheinheimera perlucida	1	Rheinheimera perlucida DSM 18276	NZ_ARNG00000000	ARNG00000000			Default			
Rheinheimera	1	Rheinheimera sp. A13L	NZ_AFHI00000000	AFHI00000000			Default			
Rhizobium etli	10	Rhizobium etli CFN 42	NC_007761	CP000133	NC_004041 ... (6)	CP000134 ... (6)	COM		16505379	
Rhizobium gallicum	1	Rhizobium gallicum bv. gallicum R602sp	NZ_ARDC00000000	ARDC00000000			Default			
Rhizobium giardinii	1	Rhizobium giardinii bv. giardinii H152	NZ_ARBG00000000	ARBG00000000			Default			
Rhizobium grahamii	1	Rhizobium grahamii CCGE 502	NZ_AEYE00000000	AEYE00000000			Default			
Rhizobium leguminosarum	27	Rhizobium leguminosarum bv. viciae 3841	NC_008380	AM236080	NC_008378 ... (6)	AM236081 ... (6)	COM		16640791	
Rhizobium lupini	1	Rhizobium lupini HPC(L)	NZ_AMQQ00000000	AMQQ00000000			Default			
Rhizobium mesoamericanum	1	Rhizobium mesoamericanum STM3625	NZ_CANI00000000	CANI00000000			Default			
Rhizobium mongolense	1	Rhizobium mongolense USDA 1844	NZ_ATTQ00000000	ATTQ00000000			Default			
Rhizobium phaseoli	1	Rhizobium phaseoli Ch24-10	NZ_AHJU00000000	AHJU00000000			Default			
Rhizobium	33	Rhizobium sp. AP16	NZ_AJVM00000000	AJVM00000000			Default			
Rhizobium tropici	1	Rhizobium tropici CIAT 899	NC_020059	CP004015	NC_020060 ... (3)	CP004016 ... (3)	Default		23270491	
Rhodanobacter	6	Rhodanobacter denitrificans	NC_020541	CP003470			Default			
Rhodanobacter fulvus	1	Rhodanobacter fulvus Jip2	NZ_AJXU00000000	AJXU00000000			Default			
Rhodanobacter spathiphylli	1	Rhodanobacter spathiphylli B39	NZ_AJXT00000000	AJXT00000000			Default			
Rhodanobacter thiooxydans	1	Rhodanobacter thiooxydans LCS2	NZ_AJXW00000000	AJXW00000000			Default			
	0	Rhodobacter blasticus					Default			
Rhodobacter capsulatus	7	Rhodobacter capsulatus SB 1003	NC_014034	CP001312	NC_014035	CP001313	COM/PRT		20418398	
Rhodobacter	3	Rhodobacter sp. SW2	NZ_ACYY00000000	ACYY00000000			Default			
Rhodobacter sphaeroides	9	Rhodobacter sphaeroides 2.4.1	NC_007493,NC_007494	CP000143,CP000144	NC_007488 ... (5)	CP000145 ... (5)	TYS/PRT/UPR	This strain has a reference proteome in UniProtKB database.		http://www.uniprot.org/taxonomy/?query=reference:yes%20ancestor:18
Rhodobacteraceae bacterium HTCC2083	1	Rhodobacteraceae bacterium HTCC2083	NZ_ABXE00000000	ABXE00000000			Default			
Rhodobacteraceae bacterium HTCC2150	1	Rhodobacteraceae bacterium HTCC2150	NZ_AAXZ00000000	AAXZ00000000			Default			
Rhodobacteraceae bacterium KLH11	1	Rhodobacteraceae bacterium KLH11	NZ_ACCW00000000	ACCW00000000			Default			
Rhodobacterales bacterium HTCC2255	1	Rhodobacterales bacterium HTCC2255	NZ_AATR00000000	AATR00000000			Default			
Rhodobacterales bacterium Y4I	1	Rhodobacterales bacterium Y4I	NZ_ABXF00000000	ABXF00000000			Default			
	0	Rhodococcus aetherivorans					Default			
Rhodococcus equi	3	Rhodococcus equi 103S	NC_014659	FN563149			COM		20941392	
Rhodococcus erythropolis	5	Rhodococcus erythropolis PR4	NC_012490	AP008957	NC_007486 ... (3)	AP008931 ... (3)	COM		16423019	
	0	Rhodococcus fascians			NC_021080	JN093097	Default			
Rhodococcus imtechensis	1	Rhodococcus imtechensis RKJ300 = JCM 13270	NZ_AJJH00000000	AJJH00000000			Default			
Rhodococcus jostii	1	Rhodococcus jostii RHA1	NC_008268	CP000431	NC_008269 ... (3)	CP000432 ... (3)	COM			
Rhodococcus opacus	3	Rhodococcus opacus B4	NC_012522	AP011115	NC_006969 ... (5)	AP011116 ... (5)	COM			
Rhodococcus pyridinivorans	2	Rhodococcus pyridinivorans SB3094	NC_023150	CP006996	NC_023144 ... (2)	CP006997 ... (2)	Default			
Rhodococcus qingshengii	1	Rhodococcus qingshengii BKS 20-40	NZ_AODN00000000	AODN00000000			Default			
Rhodococcus rhodnii	1	Rhodococcus rhodnii LMG 5362	NZ_APMY00000000	APMY00000000			Default			
	0	Rhodococcus rhodochrous					Default			
Rhodococcus ruber	2	Rhodococcus ruber BKS 20-38	NZ_AOEX00000000	AOEX00000000			Default			
	0	Rhodococcus sp. B264-1					Default			
Rhodococcus triatomae	1	Rhodococcus triatomae BKS 15-14	NZ_AODO00000000	AODO00000000			Default			
Rhodococcus wratislaviensis	2	Rhodococcus wratislaviensis IFP 2016	NZ_ANIU00000000	ANIU00000000			Default			
	0	Rhodocyclus sp. UW 659-1-F08					Default			
Rhodomicrobium vannielii	1	Rhodomicrobium vannielii ATCC 17100	NC_014664	CP002292			COM			
Rhodonellum psychrophilum	2	Rhodonellum psychrophilum GCM71 = DSM 17998	NZ_ARMB00000000	ARMB00000000			Default			
Rhodopirellula baltica	4	Rhodopirellula baltica SH 1	NC_005027	BX119912			QfO/UPR	This strain has a reference proteome in UniProtKB database.	12835416	http://www.uniprot.org/taxonomy/?query=reference:yes%20ancestor:19
Rhodopirellula europaea	2	Rhodopirellula europaea 6C	NZ_ANMO00000000	ANMO00000000			Default			
Rhodopirellula maiorica	1	Rhodopirellula maiorica SM1	NZ_ANOG00000000	ANOG00000000			Default			
Rhodopirellula sallentina	1	Rhodopirellula sallentina SM41	NZ_ANOH00000000	ANOH00000000			Default			
Rhodopirellula	1	Rhodopirellula sp. SWK7	NZ_ANOQ00000000	ANOQ00000000			Default			
Rhodopseudomonas palustris	8	Rhodopseudomonas palustris CGA009	NC_005296	BX571963	NC_005297	BX571964	PRT/COM		14704707	
Rhodopseudomonas sp.	1	Rhodopseudomonas sp. B29	NZ_BADD00000000	BADD00000000			Default			
Rhodospirillum centenum	1	Rhodospirillum centenum SW	NC_011420	CP000613			COM		20500872	
Rhodospirillum photometricum	1	Rhodospirillum photometricum	NC_017059	HE663493			Default			
Rhodospirillum rubrum	2	Rhodospirillum rubrum ATCC 11170	NC_007643	CP000230	NC_007641	CP000231	TYS/UPR	This strain has a reference proteome in UniProtKB database.	21886856	http://www.uniprot.org/taxonomy/?query=reference:yes%20ancestor:20
Rhodospirillum rubrum	2	Rhodospirillum rubrum F11	NC_017584	CP003046			Default		22194448	
Rhodothermus marinus	2	Rhodothermus marinus DSM 4252	NC_013501	CP001807	NC_013502	CP001808	COM		21304669	
Rhodovulum	1	Rhodovulum sp. PH10	NZ_AKZI00000000	AKZI00000000			Default			
Richelia intracellularis	2	Richelia intracellularis HM01	NZ_CAIS00000000	CAIS00000000			Default			
Rickettsia africae	1	Rickettsia africae ESF-5	NC_012633	CP001612	NC_012634	CP001613	COM		19379498	
Rickettsia akari	1	Rickettsia akari str. Hartford	NC_009881	CP000847			COM			
Rickettsia australis	2	Rickettsia australis str. Cutlack	NC_017058	CP003338	NC_017041	CP003339	Default			
Rickettsia australis	2	Rickettsia australis str. Phillips	NZ_AKVZ00000000	AKVZ00000000	NZ_AKVZ01000059	AKVZ01000059	Default			
Rickettsia bellii	4	Rickettsia bellii RML369-C	NC_007940	CP000087			COM		16703114	
Rickettsia canadensis	2	Rickettsia canadensis str. McKiel	NC_009879	CP000409			COM			
Rickettsia conorii	4	Rickettsia conorii str. Malish 7	NC_003103	AE006914			COM		11030655,11557893	
Rickettsia endosymbiont of Ixodes scapularis	1	Rickettsia endosymbiont of Ixodes scapularis	NZ_ACLC00000000,NZ_CM000770	ACLC00000000,CM000770	NZ_CM000771 ... (3)	CM000771 ... (3)	Default			
Rickettsia felis	2	Rickettsia felis URRWXCal2	NC_007109	CP000053	NC_007110 ... (2)	CP000054 ... (2)	COM		15984913	
Rickettsia heilongjiangensis	1	Rickettsia heilongjiangensis 054	NC_015866	CP002912			COM		21914880	
Rickettsia helvetica	1	Rickettsia helvetica C9P9	NZ_AICO00000000,NZ_CM001467	AICO00000000,CM001467	NZ_CM001468	CM001468	Default		22535934	
Rickettsia honei	1	Rickettsia honei RB	NZ_AJTT00000000	AJTT00000000			Default			
Rickettsia japonica	2	Rickettsia japonica YH	NC_016050	AP011533			COM		24039725	
Rickettsia massiliae	3	Rickettsia massiliae MTU5	NC_009900	CP000683	NC_009897	CP000684	COM		17916642	
	0	Rickettsia monacensis					Default			
Rickettsia montanensis	1	Rickettsia montanensis str. OSU 85-930	NC_017043	CP003340			Default			
Rickettsia parkeri	4	Rickettsia parkeri str. Portsmouth	NC_017044	CP003341			Default			
Rickettsia peacockii	1	Rickettsia peacockii str. Rustic	NC_012730	CP001227	NC_012732	CP001228	COM		20027221	
Rickettsia philipii	1	Rickettsia philipii str. 364D	NC_016930	CP003308			Default			
Rickettsia prowazekii	12	Rickettsia prowazekii str. Madrid E	NC_000963	AJ235269			FGS/MOD/UPR	This strain has a reference proteome in UniProtKB database.	9823893	http://www.uniprot.org/taxonomy/?query=reference:yes%20ancestor:21
